Local_ID,Grade_Level,Raw_Eth_Race,Num_Eth_Race,Eth_W,Eth_H,Eth_B,Eth_O,Economic_Disadvantage,English_Learner,Special_Ed,Gifted_Talented,Number_Discipline_Incidents,YN_Discipline,Num_Gender,Num_Campus_Name,CheetoMS1,PizzaMS2,TunaMS3,MustardMS4,WatermelonMS5,Math_Avg,ELA_Avg,Math_Pass,ELA_Pass
1201,8,A,4,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,1,0,99.5,94.5,1,1
1202,8,W,1,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,95,82,1,1
1203,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,94,91.5,1,1
1204,8,W,1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,81.5,85,1,1
1205,7,W,1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,73,77.5,1,1
1206,8,B,3,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,82.5,82.5,1,1
1207,8,W,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,81.5,79,1,1
1208,8,W,1,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,85.5,81.5,1,1
1209,8,W,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,73.5,77,1,1
1210,8,W,1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,86.5,82.5,1,1
1211,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,95.5,93.5,1,1
1212,8,W,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,92.5,90.5,1,1
1213,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,96,95,1,1
1214,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,88,91.5,1,1
1215,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,92,93,1,1
1216,8,W,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,81,82.5,1,1
1217,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,82.5,85.5,1,1
1218,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,71,91,1,1
1219,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,100,91.5,1,1
1220,8,H,2,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,83.5,86,1,1
1221,8,W,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,80.5,90.5,1,1
1222,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,90.5,91.5,1,1
1223,8,W,1,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,96.5,92.5,1,1
1224,8,W,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,93,89.5,1,1
1225,8,W,1,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,0,71,72.5,1,1
1226,8,T,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,86.5,90.5,1,1
1227,8,T,5,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0,79,89,1,1
1228,8,W,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,97,94.5,1,1
1229,8,W,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,98,92.5,1,1
1230,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,66.5,84,0,1
1231,8,W,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,71,69.5,1,0
1232,8,H,2,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,90.5,90.5,1,1
1233,7,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,87,89.5,1,1
1234,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,85.5,89.5,1,1
1235,8,W,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,83.5,84.5,1,1
1236,8,A,4,0,0,0,1,0,0,0,1,0,0,1,3,0,0,1,0,0,95.5,95.5,1,1
1237,8,T,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,77,81,1,1
1238,8,T,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,74.5,77.5,1,1
1239,8,W,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,87,89,1,1
1240,8,W,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,73.5,80,1,1
1241,7,A,4,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,89,89.5,1,1
1242,7,H,2,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,90.5,83,1,1
1243,8,W,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,81.5,84,1,1
1244,8,W,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,77,70,1,1
1245,8,W,1,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,92,89,1,1
1246,8,H,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,78,69,1,0
1247,7,H,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,87.5,87,1,1
1248,7,B,3,0,0,1,0,1,0,0,0,0,0,1,3,0,0,1,0,0,88,86.5,1,1
1249,7,H,2,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,70,77,1,1
1250,6,W,1,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,89,88,1,1
1251,7,H,2,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,80.5,86,1,1
1252,7,B,3,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,73.5,81.5,1,1
1253,7,A,4,0,0,0,1,1,0,1,0,0,0,1,3,0,0,1,0,0,89,82,1,1
1254,7,W,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,84,85,1,1
1255,7,H,2,0,1,0,0,1,0,1,0,0,0,1,3,0,0,1,0,0,92,77.5,1,1
1256,7,H,2,0,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,97.5,94.5,1,1
1257,7,H,2,0,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,88.5,94,1,1
1258,7,A,4,0,0,0,1,1,0,0,0,0,0,1,3,0,0,1,0,0,80.5,85.5,1,1
1259,7,H,2,0,1,0,0,1,0,0,1,0,0,1,3,0,0,1,0,0,92,93,1,1
1260,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,91,88,1,1
1261,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,95,91,1,1
1262,8,W,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,78.5,76,1,1
1263,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,96.5,88.5,1,1
1264,8,H,2,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,93,91.5,1,1
1265,8,I,6,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0,95.5,96,1,1
1266,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,85.5,83.5,1,1
1267,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,98,95.5,1,1
1268,8,W,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,80.5,80,1,1
1269,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,78.5,87.5,1,1
1270,8,W,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,79,81,1,1
1271,8,H,2,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,90.5,90,1,1
1272,8,B,3,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,76,74.5,1,1
1273,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,94.5,85,1,1
1274,8,W,1,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,97.5,98,1,1
1275,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,80.5,87.5,1,1
1276,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,97.5,93.5,1,1
1277,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,95,90.5,1,1
1278,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,88,94.5,1,1
1279,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,86.5,81,1,1
1280,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,92,89.5,1,1
1281,8,H,2,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,74,86,1,1
1282,8,B,3,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,91.5,92,1,1
1283,8,B,3,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,79,83,1,1
1284,8,H,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,75,75.5,1,1
1285,7,H,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,79.5,74.5,1,1
1286,8,T,5,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,85.5,87,1,1
1287,8,W,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,91.5,78,1,1
1288,6,H,2,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,80,80.5,1,1
1289,8,P,7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,87,86,1,1
1290,8,W,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,85,78,1,1
1291,8,W,1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,71.5,70.5,1,1
1292,6,W,1,1,0,0,0,1,0,1,0,0,0,0,4,0,0,0,1,0,76.5,77.5,1,1
1293,6,W,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,78,82.5,1,1
1294,6,H,2,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,88,80,1,1
1295,6,W,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,85,85,1,1
1296,6,W,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,81,91.5,1,1
1297,8,H,2,0,1,0,0,1,1,1,0,0,0,0,5,0,0,0,0,1,76,75.5,1,1
1298,7,W,1,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,89.5,79,1,1
1299,7,W,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,91,84.5,1,1
